DeployID,t_0,t_max,n_loc,res_m,n_day,max_n_loc,n_NA,p_NA
172062,2017-07-31T17:43:45Z,2017-10-31T02:57:30Z,52908,1.25,92,105276,52368,0.4974353128918272
172063,2017-08-01T04:36:15Z,2017-10-11T01:57:30Z,28626,1.25,66,81666,53040,0.6494746895893028
172064,2017-08-01T18:01:15Z,2017-09-20T14:57:30Z,20590,1.25,50,57454,36864,0.641626344553904
172065,2017-08-03T20:40:00Z,2018-02-01T01:57:30Z,68559,1.25,136,208767,140208,0.6716003966144074
172066,2017-08-03T08:26:15Z,2017-10-06T16:57:30Z,35258,1.25,66,74138,38880,0.5244274191372845
172067,2017-08-03T20:40:00Z,2017-10-08T05:57:30Z,35919,1.25,66,75327,39408,0.5231590266438328
172068,2017-08-13T00:45:00Z,2017-10-22T18:57:30Z,16235,1.25,62,81515,65280,0.8008342022940563
172069,2017-08-06T01:26:15Z,2017-09-15T05:57:30Z,13898,1.25,40,46298,32400,0.6998142468357165
172070,2017-09-02T23:17:30Z,2017-11-05T23:57:30Z,16689,1.25,56,73761,57072,0.7737422214991663
172071,2017-09-03T03:00:00Z,2017-10-07T23:57:30Z,7295,1.25,31,40175,32880,0.8184194150591164
