DeployID,t_0,t_max,n_loc,res_m,n_day,max_n_loc,n_NA,p_NA
172062,2017-07-31T17:52:00Z,2017-12-02T13:22:00Z,8550,10,125,17830,9280,0.5204711160964667
172063,2017-07-29T17:59:00Z,2017-10-17T10:28:00Z,5821,10,79,11475,5654,0.49272331154684096
172064,2017-07-31T21:28:00Z,2017-09-26T06:59:00Z,4427,10,57,8122,3695,0.4549372075843388
172065,2017-08-01T16:59:00Z,2018-01-22T22:36:00Z,8255,10,159,25090,16835,0.6709844559585493
172066,2017-08-01T16:54:00Z,2017-10-28T14:41:00Z,6115,10,87,12659,6544,0.5169444663875503
172067,2017-08-01T17:03:00Z,2017-10-25T11:57:00Z,4900,10,84,12210,7310,0.5986895986895987
172068,2017-08-13T00:50:00Z,2017-10-27T02:38:00Z,4975,10,76,10811,5836,0.5398205531403201
172069,2017-08-06T01:37:00Z,2017-10-04T01:43:00Z,4258,10,59,8497,4239,0.498881958338237
172070,2017-09-02T23:21:00Z,2017-11-24T07:56:00Z,4345,10,83,11860,7515,0.6336424957841484
172071,2017-08-30T01:33:00Z,2017-10-11T13:18:00Z,2202,10,41,6119,3917,0.6401372773328975
