"","ID","time","depth","dt"
"1","T172062",2017-08-08 00:00:00,1,1.25
"2","T172062",2017-08-08 00:01:15,7.5,1.25
"3","T172062",2017-08-08 00:02:30,11,1.25
"4","T172062",2017-08-08 00:03:45,5.5,1.25
"5","T172062",2017-08-08 00:05:00,3.5,1.25
"6","T172062",2017-08-08 00:06:15,1,1.25
"7","T172062",2017-08-08 00:07:30,7.5,1.25
"8","T172062",2017-08-08 00:08:45,5.5,1.25
"9","T172062",2017-08-08 00:10:00,1,1.25
"10","T172062",2017-08-08 00:11:15,1,1.25
"11","T172062",2017-08-08 00:12:30,24.5,1.25
"12","T172062",2017-08-08 00:13:45,31,1.25
"13","T172062",2017-08-08 00:15:00,31,1.25
"14","T172062",2017-08-08 00:16:15,24.5,1.25
"15","T172062",2017-08-08 00:17:30,24.5,1.25
"16","T172062",2017-08-08 00:18:45,1,1.25
"17","T172062",2017-08-08 00:20:00,1,1.25
"18","T172062",2017-08-08 00:21:15,3.5,1.25
"19","T172062",2017-08-08 00:22:30,7.5,1.25
"20","T172062",2017-08-08 00:23:45,11,1.25
"21","T172062",2017-08-08 00:25:00,1,1.25
"22","T172062",2017-08-08 00:26:15,5.5,1.25
"23","T172062",2017-08-08 00:27:30,11,1.25
"24","T172062",2017-08-08 00:28:45,20,1.25
"25","T172062",2017-08-08 00:30:00,48.5,1.25
"26","T172062",2017-08-08 00:31:15,106,1.25
"27","T172062",2017-08-08 00:32:30,123,1.25
"28","T172062",2017-08-08 00:33:45,123,1.25
"29","T172062",2017-08-08 00:35:00,123,1.25
"30","T172062",2017-08-08 00:36:15,123,1.25
"31","T172062",2017-08-08 00:37:30,123,1.25
"32","T172062",2017-08-08 00:38:45,106,1.25
"33","T172062",2017-08-08 00:40:00,88,1.25
"34","T172062",2017-08-08 00:41:15,31,1.25
"35","T172062",2017-08-08 00:42:30,1,1.25
"36","T172062",2017-08-08 00:43:45,1,1.25
"37","T172062",2017-08-08 00:45:00,5.5,1.25
"38","T172062",2017-08-08 00:46:15,1,1.25
"39","T172062",2017-08-08 00:47:30,20,1.25
"40","T172062",2017-08-08 00:48:45,20,1.25
"41","T172062",2017-08-08 00:50:00,5.5,1.25
"42","T172062",2017-08-08 00:51:15,1,1.25
"43","T172062",2017-08-08 00:52:30,1,1.25
"44","T172062",2017-08-08 00:53:45,20,1.25
"45","T172062",2017-08-08 00:55:00,11,1.25
"46","T172062",2017-08-08 00:56:15,11,1.25
"47","T172062",2017-08-08 00:57:30,5.5,1.25
"48","T172062",2017-08-08 00:58:45,24.5,1.25
"49","T172062",2017-08-08 01:00:00,55,1.25
"50","T172062",2017-08-08 01:01:15,76.5,1.25
"51","T172062",2017-08-08 01:02:30,76.5,1.25
"52","T172062",2017-08-08 01:03:45,66,1.25
"53","T172062",2017-08-08 01:05:00,66,1.25
"54","T172062",2017-08-08 01:06:15,55,1.25
"55","T172062",2017-08-08 01:07:30,30.5,1.25
"56","T172062",2017-08-08 01:08:45,0.5,1.25
"57","T172062",2017-08-08 01:10:00,6.5,1.25
"58","T172062",2017-08-08 01:11:15,3.5,1.25
"59","T172062",2017-08-08 01:12:30,0.5,1.25
"60","T172062",2017-08-08 01:13:45,0.5,1.25
"61","T172062",2017-08-08 01:15:00,3.5,1.25
"62","T172062",2017-08-08 01:16:15,3.5,1.25
"63","T172062",2017-08-08 01:17:30,3.5,1.25
"64","T172062",2017-08-08 01:18:45,0.5,1.25
"65","T172062",2017-08-08 01:20:00,6.5,1.25
"66","T172062",2017-08-08 01:21:15,9.5,1.25
"67","T172062",2017-08-08 01:22:30,15,1.25
"68","T172062",2017-08-08 01:23:45,6.5,1.25
"69","T172062",2017-08-08 01:25:00,5,1.25
"70","T172062",2017-08-08 01:26:15,0.5,1.25
"71","T172062",2017-08-08 01:27:30,3.5,1.25
"72","T172062",2017-08-08 01:28:45,5,1.25
"73","T172062",2017-08-08 01:30:00,2,1.25
"74","T172062",2017-08-08 01:31:15,19,1.25
"75","T172062",2017-08-08 01:32:30,0.5,1.25
"76","T172062",2017-08-08 01:33:45,5,1.25
"77","T172062",2017-08-08 01:35:00,9.5,1.25
"78","T172062",2017-08-08 01:36:15,19,1.25
"79","T172062",2017-08-08 01:37:30,2,1.25
"80","T172062",2017-08-08 01:38:45,12.5,1.25
"81","T172062",2017-08-08 01:40:00,19,1.25
"82","T172062",2017-08-08 01:41:15,19,1.25
"83","T172062",2017-08-08 01:42:30,19,1.25
"84","T172062",2017-08-08 01:43:45,2,1.25
"85","T172062",2017-08-08 01:45:00,3.5,1.25
"86","T172062",2017-08-08 01:46:15,25,1.25
"87","T172062",2017-08-08 01:47:30,35.5,1.25
"88","T172062",2017-08-08 01:48:45,30.5,1.25
"89","T172062",2017-08-08 01:50:00,9.5,1.25
"90","T172062",2017-08-08 01:51:15,2,1.25
"91","T172062",2017-08-08 01:52:30,9.5,1.25
"92","T172062",2017-08-08 01:53:45,12.5,1.25
"93","T172062",2017-08-08 01:55:00,0.5,1.25
"94","T172062",2017-08-08 01:56:15,5,1.25
"95","T172062",2017-08-08 01:57:30,9.5,1.25
"96","T172062",2017-08-08 01:58:45,5,61.25
"97","T172062",2017-08-08 03:00:00,5.5,1.25
"98","T172062",2017-08-08 03:01:15,13,1.25
"99","T172062",2017-08-08 03:02:30,1,1.25
"100","T172062",2017-08-08 03:03:45,13,1.25
"101","T172062",2017-08-08 03:05:00,24,1.25
"102","T172062",2017-08-08 03:06:15,28,1.25
"103","T172062",2017-08-08 03:07:30,24,1.25
"104","T172062",2017-08-08 03:08:45,7,1.25
"105","T172062",2017-08-08 03:10:00,1,1.25
"106","T172062",2017-08-08 03:11:15,2.5,1.25
"107","T172062",2017-08-08 03:12:30,3.5,1.25
"108","T172062",2017-08-08 03:13:45,7,1.25
"109","T172062",2017-08-08 03:15:00,0.5,1.25
"110","T172062",2017-08-08 03:16:15,1,1.25
"111","T172062",2017-08-08 03:17:30,5.5,1.25
"112","T172062",2017-08-08 03:18:45,2,1.25
"113","T172062",2017-08-08 03:20:00,7,1.25
