"ID","time","x","y","loc_class"
"T172062","2017-08-08T00:00:00Z",-80.6414,72.2694,"GPS"
"T172062","2017-08-08T00:00:00Z",-80.8065,72.352,"B"
"T172062","2017-08-08T00:00:00Z",-80.6863,72.3382,"B"
"T172062","2017-08-08T00:07:00Z",-80.6342,72.2722,"B"
"T172062","2017-08-08T00:07:00Z",-80.6342,72.2722,"B"
"T172062","2017-08-08T00:20:00Z",-80.6525,72.2728,"GPS"
"T172062","2017-08-08T00:25:00Z",-80.6407,72.2761,"A"
"T172062","2017-08-08T00:25:00Z",-80.6407,72.2761,"A"
"T172062","2017-08-08T00:25:00Z",-80.6407,72.2761,"A"
"T172062","2017-08-08T00:42:00Z",-80.6665,72.2719,"GPS"
"T172062","2017-08-08T00:44:00Z",-80.6078,72.2795,"1"
"T172062","2017-08-08T00:44:00Z",-80.6078,72.2795,"1"
"T172062","2017-08-08T00:44:00Z",-80.6078,72.2795,"1"
"T172062","2017-08-08T00:44:00Z",-80.6078,72.2795,"1"
"T172062","2017-08-08T00:44:00Z",-80.6078,72.2795,"1"
"T172062","2017-08-08T00:44:00Z",-80.6078,72.2795,"1"
"T172062","2017-08-08T00:52:00Z",-80.6692,72.2674,"GPS"
"T172062","2017-08-08T00:53:00Z",-80.7275,72.27,"1"
"T172062","2017-08-08T00:53:00Z",-80.7275,72.27,"1"
"T172062","2017-08-08T00:53:00Z",-80.7275,72.27,"1"
"T172062","2017-08-08T00:53:00Z",-80.7275,72.27,"1"
"T172062","2017-08-08T01:09:00Z",-80.6682,72.2582,"GPS"
"T172062","2017-08-08T01:19:00Z",-80.6613,72.2574,"GPS"
"T172062","2017-08-08T01:29:00Z",-80.6592,72.2563,"GPS"
"T172062","2017-08-08T01:33:00Z",-80.6846,72.2532,"1"
"T172062","2017-08-08T01:33:00Z",-80.6846,72.2532,"1"
"T172062","2017-08-08T01:33:00Z",-80.6846,72.2532,"1"
"T172062","2017-08-08T01:33:00Z",-80.6846,72.2532,"1"
"T172062","2017-08-08T01:33:00Z",-80.7511,72.2386,"1"
"T172062","2017-08-08T01:33:00Z",-80.7511,72.2386,"1"
"T172062","2017-08-08T01:33:00Z",-80.7511,72.2386,"1"
"T172062","2017-08-08T01:33:00Z",-80.7511,72.2386,"1"
"T172062","2017-08-08T01:33:00Z",-80.7511,72.2386,"1"
"T172062","2017-08-08T01:44:00Z",-80.6557,72.2539,"GPS"
"T172062","2017-08-08T02:04:00Z",-80.6558,72.255,"GPS"
"T172062","2017-08-08T02:04:00Z",-80.654,72.2536,"1"
"T172062","2017-08-08T02:04:00Z",-80.654,72.2536,"1"
"T172062","2017-08-08T02:04:00Z",-80.654,72.2536,"1"
"T172062","2017-08-08T02:04:00Z",-80.654,72.2536,"1"
"T172062","2017-08-08T02:04:00Z",-80.654,72.2536,"1"
"T172062","2017-08-08T02:04:00Z",-80.654,72.2536,"1"
"T172062","2017-08-08T02:16:00Z",-80.6475,72.2577,"GPS"
"T172062","2017-08-08T02:26:00Z",-80.6947,72.2588,"3"
"T172062","2017-08-08T02:26:00Z",-80.6947,72.2588,"3"
"T172062","2017-08-08T02:26:00Z",-80.6947,72.2588,"3"
"T172062","2017-08-08T02:26:00Z",-80.6947,72.2588,"3"
"T172062","2017-08-08T02:26:00Z",-80.6316,72.2582,"GPS"
"T172062","2017-08-08T02:33:00Z",-80.6347,72.2582,"3"
"T172062","2017-08-08T02:33:00Z",-80.6347,72.2582,"3"
"T172062","2017-08-08T02:33:00Z",-80.6347,72.2582,"3"
"T172062","2017-08-08T02:33:00Z",-80.6347,72.2582,"3"
"T172062","2017-08-08T02:33:00Z",-80.6347,72.2582,"3"
"T172062","2017-08-08T02:41:00Z",-80.6158,72.2534,"GPS"
"T172062","2017-08-08T03:02:00Z",-80.5892,72.2403,"GPS"
"T172062","2017-08-08T03:15:00Z",-80.5759,72.2338,"GPS"
"T172062","2017-08-08T03:16:00Z",-80.6056,72.2356,"A"
"T172062","2017-08-08T03:16:00Z",-80.6056,72.2356,"A"
"T172062","2017-08-08T03:16:00Z",-80.6056,72.2356,"A"
"T172062","2017-08-08T03:19:00Z",-80.5867,72.235,"B"
"T172062","2017-08-08T03:19:00Z",-80.5867,72.235,"B"
"T172062","2017-08-08T03:25:00Z",-80.5767,72.2269,"GPS"
"T172062","2017-08-08T03:36:00Z",-80.57,72.2211,"GPS"
"T172062","2017-08-08T03:52:00Z",-80.5794,72.2325,"B"
"T172062","2017-08-08T04:11:00Z",-80.5697,72.1905,"GPS"
"T172062","2017-08-08T04:11:00Z",-80.5814,72.2299,"B"
"T172062","2017-08-08T04:11:00Z",-80.5814,72.2299,"B"
"T172062","2017-08-08T04:12:00Z",-80.5438,72.1921,"2"
"T172062","2017-08-08T04:12:00Z",-80.5438,72.1921,"2"
"T172062","2017-08-08T04:12:00Z",-80.5438,72.1921,"2"
"T172062","2017-08-08T04:12:00Z",-80.5438,72.1921,"2"
"T172062","2017-08-08T04:20:00Z",-80.5599,72.1813,"GPS"
"T172062","2017-08-08T04:31:00Z",-80.5483,72.1727,"GPS"
"T172062","2017-08-08T04:44:00Z",-80.536,72.1631,"GPS"
"T172062","2017-08-08T05:02:00Z",-80.5235,72.1482,"GPS"
"T172062","2017-08-08T05:12:00Z",-80.5156,72.1392,"GPS"
"T172062","2017-08-08T05:19:00Z",-80.5282,72.1897,"B"
"T172062","2017-08-08T05:29:00Z",-80.4939,72.1258,"GPS"
"T172062","2017-08-08T05:39:00Z",-80.4907,72.1158,"GPS"
"T172062","2017-08-08T05:48:00Z",-80.4906,72.128,"2"
"T172062","2017-08-08T05:48:00Z",-80.4906,72.128,"2"
"T172062","2017-08-08T05:48:00Z",-80.4906,72.128,"2"
"T172062","2017-08-08T05:48:00Z",-80.4906,72.128,"2"
"T172062","2017-08-08T05:48:00Z",-80.4906,72.128,"2"
"T172062","2017-08-08T05:50:00Z",-80.4827,72.1103,"2"
"T172062","2017-08-08T05:50:00Z",-80.4827,72.1103,"2"
"T172062","2017-08-08T05:50:00Z",-80.4827,72.1103,"2"
"T172062","2017-08-08T05:50:00Z",-80.4827,72.1103,"2"
"T172062","2017-08-08T05:50:00Z",-80.4827,72.1103,"2"
"T172062","2017-08-08T06:00:00Z",-80.5002,72.0977,"GPS"
"T172062","2017-08-08T06:13:00Z",-80.5049,72.0873,"GPS"
"T172062","2017-08-08T06:22:00Z",-80.5034,72.0781,"GPS"
"T172062","2017-08-08T06:32:00Z",-80.4967,72.0694,"GPS"
"T172062","2017-08-08T07:11:00Z",-80.512,72.0471,"GPS"
"T172062","2017-08-08T07:21:00Z",-80.5282,72.0445,"GPS"
"T172062","2017-08-08T07:29:00Z",-80.5324,72.0394,"2"
"T172062","2017-08-08T07:29:00Z",-80.5324,72.0394,"2"
"T172062","2017-08-08T07:29:00Z",-80.5324,72.0394,"2"
"T172062","2017-08-08T07:29:00Z",-80.5324,72.0394,"2"
"T172062","2017-08-08T07:29:00Z",-80.5324,72.0394,"2"
"T172062","2017-08-08T07:29:00Z",-80.5324,72.0394,"2"
"T172062","2017-08-08T07:34:00Z",-80.5478,72.0395,"GPS"
"T172062","2017-08-08T07:49:00Z",-80.5674,72.0331,"GPS"
"T172062","2017-08-08T08:04:00Z",-80.5795,72.0272,"GPS"
"T172062","2017-08-08T08:16:00Z",-80.5908,72.0243,"GPS"
"T172062","2017-08-08T08:30:00Z",-80.6075,72.023,"GPS"
"T172062","2017-08-08T08:40:00Z",-80.6217,72.0218,"GPS"
"T172062","2017-08-08T08:47:00Z",-80.5994,72.016,"2"
"T172062","2017-08-08T08:47:00Z",-80.5994,72.016,"2"
"T172062","2017-08-08T08:47:00Z",-80.5994,72.016,"2"
"T172062","2017-08-08T08:47:00Z",-80.5994,72.016,"2"
"T172062","2017-08-08T09:03:00Z",-80.6337,72.025,"A"
"T172062","2017-08-08T09:03:00Z",-80.6337,72.025,"A"
"T172062","2017-08-08T09:03:00Z",-80.6337,72.025,"A"
"T172062","2017-08-08T09:05:00Z",-80.5995,72.0161,"B"
"T172062","2017-08-08T09:20:00Z",-80.6583,72.0199,"GPS"
"T172062","2017-08-08T09:36:00Z",-80.6732,72.0218,"GPS"
"T172062","2017-08-08T09:47:00Z",-80.6754,72.0221,"GPS"
