"Date","Depth","Light","ETemp","DateTime","HST","days","minutes","five","ten","second","depthc"
39882.048611,4,197,21.65,2009-03-10 01:10:00,2009-03-09 15:10:00,9,910,0,0,0,0
39882.055556,4,200,21.45,2009-03-10 01:20:00,2009-03-09 15:20:00,9,920,0,0,0,6
39882.0625,10,188,21.45,2009-03-10 01:30:00,2009-03-09 15:30:00,9,930,0,0,0,7
39882.069444,17,174,21.3,2009-03-10 01:40:00,2009-03-09 15:40:00,9,940,0,0,0,2.5
39882.076389,14.5,180,21.35,2009-03-10 01:50:00,2009-03-09 15:50:00,9,950,0,0,0,1
39882.083333,13.5,181,21.25,2009-03-10 02:00:00,2009-03-09 16:00:00,9,960,0,0,0,3
39882.090278,16.5,165.75,21.15,2009-03-10 02:10:00,2009-03-09 16:10:00,9,970,0,0,0,1.5
39882.097222,18,167.25,21.25,2009-03-10 02:20:00,2009-03-09 16:20:00,9,980,0,0,0,1.5
39882.104167,19.5,163,21.05,2009-03-10 02:30:00,2009-03-09 16:30:00,9,990,0,0,0,3
39882.111111,16.5,164.5,21.25,2009-03-10 02:40:00,2009-03-09 16:40:00,9,1000,0,0,0,2
39882.118056,18.5,158.5,21.25,2009-03-10 02:50:00,2009-03-09 16:50:00,9,1010,0,0,0,3
39882.125,15.5,162.5,21.3,2009-03-10 03:00:00,2009-03-09 17:00:00,9,1020,0,0,0,1
39882.131944,16.5,163.5,21.3,2009-03-10 03:10:00,2009-03-09 17:10:00,9,1030,0,0,0,1.5
39882.138889,18,157.5,21.3,2009-03-10 03:20:00,2009-03-09 17:20:00,9,1040,0,0,0,6.5
39882.145833,11.5,166.75,21.4,2009-03-10 03:30:00,2009-03-09 17:30:00,9,1050,0,0,0,3
39882.152778,14.5,161.25,21.25,2009-03-10 03:40:00,2009-03-09 17:40:00,9,1060,0,0,0,5.5
39882.159722,9,168,21.35,2009-03-10 03:50:00,2009-03-09 17:50:00,9,1070,0,0,0,11.5
39882.166667,20.5,142.75,21.05,2009-03-10 04:00:00,2009-03-09 18:00:00,9,1080,0,0,0,8.5
39882.173611,12,154.5,21.3,2009-03-10 04:10:00,2009-03-09 18:10:00,9,1090,0,0,0,3
39882.180556,15,146.5,21.35,2009-03-10 04:20:00,2009-03-09 18:20:00,9,1100,0,0,0,0.5
39882.1875,14.5,145.5,21.45,2009-03-10 04:30:00,2009-03-09 18:30:00,9,1110,0,0,0,8
39882.194444,6.5,147,21.55,2009-03-10 04:40:00,2009-03-09 18:40:00,9,1120,0,0,0,9
39882.201389,15.5,112.5,21.55,2009-03-10 04:50:00,2009-03-09 18:50:00,9,1130,0,0,0,7
39882.208333,8.5,103.25,21.85,2009-03-10 05:00:00,2009-03-09 19:00:00,9,1140,0,0,0,3.5
39882.215278,5,93.75,21.85,2009-03-10 05:10:00,2009-03-09 19:10:00,9,1150,0,0,0,12
39882.222222,17,55.25,21.6,2009-03-10 05:20:00,2009-03-09 19:20:00,9,1160,0,0,0,1
39882.229167,16,56.75,21.85,2009-03-10 05:30:00,2009-03-09 19:30:00,9,1170,0,0,0,1.5
39882.236111,14.5,57.75,21.9,2009-03-10 05:40:00,2009-03-09 19:40:00,9,1180,0,0,0,8.5
39882.243056,6,76,21.9,2009-03-10 05:50:00,2009-03-09 19:50:00,9,1190,0,0,0,7.5
39882.25,13.5,56.5,21.85,2009-03-10 06:00:00,2009-03-09 20:00:00,9,1200,0,0,0,6.5
39882.256944,7,71.75,21.9,2009-03-10 06:10:00,2009-03-09 20:10:00,9,1210,0,0,0,2
39882.263889,9,69.5,21.85,2009-03-10 06:20:00,2009-03-09 20:20:00,9,1220,0,0,0,1
39882.270833,8,72.5,21.85,2009-03-10 06:30:00,2009-03-09 20:30:00,9,1230,0,0,0,8
39882.277778,16,54,21.9,2009-03-10 06:40:00,2009-03-09 20:40:00,9,1240,0,0,0,0
39882.284722,16,57,21.9,2009-03-10 06:50:00,2009-03-09 20:50:00,9,1250,0,0,0,2.5
39882.291667,13.5,63.25,21.9,2009-03-10 07:00:00,2009-03-09 21:00:00,9,1260,0,0,0,4
39882.298611,9.5,70.5,21.9,2009-03-10 07:10:00,2009-03-09 21:10:00,9,1270,0,0,0,8.5
39882.305556,18,61,21.95,2009-03-10 07:20:00,2009-03-09 21:20:00,9,1280,0,0,0,1
39882.3125,17,62,21.9,2009-03-10 07:30:00,2009-03-09 21:30:00,9,1290,0,0,0,0.5
39882.319444,16.5,58.75,22,2009-03-10 07:40:00,2009-03-09 21:40:00,9,1300,0,0,0,1
39882.326389,17.5,62.5,21.9,2009-03-10 07:50:00,2009-03-09 21:50:00,9,1310,0,0,0,4
39882.333333,13.5,73.75,21.9,2009-03-10 08:00:00,2009-03-09 22:00:00,9,1320,0,0,0,9.5
39882.340278,4,86.5,21.85,2009-03-10 08:10:00,2009-03-09 22:10:00,9,1330,0,0,0,9.5
39882.347222,13.5,71.25,21.9,2009-03-10 08:20:00,2009-03-09 22:20:00,9,1340,0,0,0,0
39882.354167,13.5,72.25,21.85,2009-03-10 08:30:00,2009-03-09 22:30:00,9,1350,0,0,0,3.5
39882.361111,17,61.75,21.95,2009-03-10 08:40:00,2009-03-09 22:40:00,9,1360,0,0,0,11.5
39882.368056,5.5,80.5,21.8,2009-03-10 08:50:00,2009-03-09 22:50:00,9,1370,0,0,0,4
39882.375,9.5,69.75,21.8,2009-03-10 09:00:00,2009-03-09 23:00:00,9,1380,0,0,0,2.5
39882.381944,12,67.5,21.9,2009-03-10 09:10:00,2009-03-09 23:10:00,9,1390,0,0,0,2
39882.388889,10,70,21.9,2009-03-10 09:20:00,2009-03-09 23:20:00,9,1400,0,0,0,6.5
39882.395833,16.5,57,22,2009-03-10 09:30:00,2009-03-09 23:30:00,9,1410,0,0,0,12.5
39882.402778,4,87.5,21.9,2009-03-10 09:40:00,2009-03-09 23:40:00,9,1420,0,0,0,1
39882.409722,5,84.75,22.05,2009-03-10 09:50:00,2009-03-09 23:50:00,9,1430,0,0,0,0
39882.416667,5,86.75,22.15,2009-03-10 10:00:00,2009-03-10 00:00:00,10,0,0,0,0,0.5
39882.423611,4.5,86.25,22.1,2009-03-10 10:10:00,2009-03-10 00:10:00,10,10,0,0,0,0.5
39882.430556,4,84.25,22.1,2009-03-10 10:20:00,2009-03-10 00:20:00,10,20,0,0,0,5.5
39882.4375,9.5,71.75,22.05,2009-03-10 10:30:00,2009-03-10 00:30:00,10,30,0,0,0,2
39882.444444,11.5,64.5,22.05,2009-03-10 10:40:00,2009-03-10 00:40:00,10,40,0,0,0,7
39882.451389,4.5,84.25,22,2009-03-10 10:50:00,2009-03-10 00:50:00,10,50,0,0,0,1
39882.458333,5.5,82.75,22,2009-03-10 11:00:00,2009-03-10 01:00:00,10,60,0,0,0,3
39882.465278,8.5,75.75,22.05,2009-03-10 11:10:00,2009-03-10 01:10:00,10,70,0,0,0,0.5
39882.472222,8,79.5,22.65,2009-03-10 11:20:00,2009-03-10 01:20:00,10,80,0,0,0,11
39882.479167,19,63,22.25,2009-03-10 11:30:00,2009-03-10 01:30:00,10,90,0,0,0,2
39882.486111,17,61.25,22.35,2009-03-10 11:40:00,2009-03-10 01:40:00,10,100,0,0,0,13
39882.493056,4,85.25,22.35,2009-03-10 11:50:00,2009-03-10 01:50:00,10,110,0,0,0,24.5
39882.5,28.5,65,22.7,2009-03-10 12:00:00,2009-03-10 02:00:00,10,120,0,0,0,24.5
39882.506944,4,85.5,22.8,2009-03-10 12:10:00,2009-03-10 02:10:00,10,130,0,0,0,54
39882.513889,58,53.25,22.85,2009-03-10 12:20:00,2009-03-10 02:20:00,10,140,0,0,0,1
39882.520833,57,53.5,22.85,2009-03-10 12:30:00,2009-03-10 02:30:00,10,150,0,0,0,0
39882.527778,57,56,22.9,2009-03-10 12:40:00,2009-03-10 02:40:00,10,160,0,0,0,12.5
39882.534722,44.5,63,22.85,2009-03-10 12:50:00,2009-03-10 02:50:00,10,170,0,0,0,39.5
39882.541667,84,49.25,22.85,2009-03-10 13:00:00,2009-03-10 03:00:00,10,180,0,0,0,23.5
39882.548611,107.5,41.75,22,2009-03-10 13:10:00,2009-03-10 03:10:00,10,190,0,0,0,3.5
39882.555556,104,39.5,22.35,2009-03-10 13:20:00,2009-03-10 03:20:00,10,200,0,0,0,0.5
39882.5625,103.5,42.75,22.35,2009-03-10 13:30:00,2009-03-10 03:30:00,10,210,0,0,0,2
39882.569444,105.5,42.5,22.4,2009-03-10 13:40:00,2009-03-10 03:40:00,10,220,0,0,0,6
39882.576389,111.5,40.5,22.1,2009-03-10 13:50:00,2009-03-10 03:50:00,10,230,0,0,0,10
39882.583333,121.5,38.5,21.95,2009-03-10 14:00:00,2009-03-10 04:00:00,10,240,0,0,0,18
39882.590278,139.5,33.5,21.2,2009-03-10 14:10:00,2009-03-10 04:10:00,10,250,0,0,0,23
39882.597222,116.5,36.5,22.05,2009-03-10 14:20:00,2009-03-10 04:20:00,10,260,0,0,0,1.5
39882.604167,118,35.25,21.8,2009-03-10 14:30:00,2009-03-10 04:30:00,10,270,0,0,0,2.5
39882.611111,120.5,37.25,21.9,2009-03-10 14:40:00,2009-03-10 04:40:00,10,280,0,0,0,8
39882.618056,112.5,39.25,22.5,2009-03-10 14:50:00,2009-03-10 04:50:00,10,290,0,0,0,11
39882.625,123.5,36.5,21.45,2009-03-10 15:00:00,2009-03-10 05:00:00,10,300,0,0,0,4.5
39882.631944,119,40.75,22,2009-03-10 15:10:00,2009-03-10 05:10:00,10,310,0,0,0,2.5
39882.638889,116.5,38,22.45,2009-03-10 15:20:00,2009-03-10 05:20:00,10,320,0,0,0,0
39882.645833,116.5,35.75,22,2009-03-10 15:30:00,2009-03-10 05:30:00,10,330,0,0,0,1.5
39882.652778,115,36.25,22.25,2009-03-10 15:40:00,2009-03-10 05:40:00,10,340,0,0,0,13.5
39882.659722,101.5,38.25,22.55,2009-03-10 15:50:00,2009-03-10 05:50:00,10,350,0,0,0,19.5
39882.666667,121,36.25,21.35,2009-03-10 16:00:00,2009-03-10 06:00:00,10,360,0,0,0,1
